month,AggLiq,LiqInno,LiqTrad
1994-01-01,0.03945276,0.07157179,-0.00248060
1994-02-01,-0.05118445,-0.03876665,0.00783604
1994-03-01,-0.01754406,-0.01005775,0.02580671
1994-04-01,-0.07560195,-0.05257716,0.00559831
1994-05-01,-0.04146914,-0.00176341,0.03150225
1994-06-01,-0.07876295,-0.03712337,-0.00198332
1994-07-01,0.01170539,0.06177165,-0.00750660
1994-08-01,-0.01712680,0.03444694,0.00548321
1994-09-01,0.02057847,0.01603945,0.03119027
1994-10-01,0.02948730,0.03275399,0.00973093
1994-11-01,-0.01550632,-0.04553699,-0.02160148
1994-12-01,-0.03463670,-0.01128710,0.01930035
1995-01-01,0.02206376,0.06075991,-0.03140997
1995-02-01,0.02359710,0.02411879,-0.02663006
1995-03-01,0.00997819,-0.01164882,0.00982348
1995-04-01,0.03159925,0.05168967,0.00352130
1995-05-01,0.00549143,0.01057058,-0.01164138
1995-06-01,-0.02606348,-0.03565504,-0.00567392
1995-07-01,-0.00492064,0.01127866,0.03964738
1995-08-01,-0.00307188,0.01966911,-0.02143166
1995-09-01,-0.02972287,-0.02586515,-0.07656433
1995-10-01,-0.00932857,0.00541682,0.03771907
1995-11-01,0.03077631,0.05760202,0.00909125
1995-12-01,-0.06585245,-0.02992060,-0.01612119
1996-01-01,-0.02406434,-0.00890669,0.02844004
1996-02-01,0.02437703,0.07073625,0.00972366
1996-03-01,-0.05198898,-0.04545363,-0.01150870
1996-04-01,-0.02575378,0.01791409,-0.03253059
1996-05-01,0.01231168,0.02263437,-0.01003411
1996-06-01,-0.01043103,-0.01058388,-0.04781987
1996-07-01,-0.03805803,-0.01435220,-0.03935225
1996-08-01,0.06257344,0.09062084,0.00714965
1996-09-01,-0.00120862,-0.01771574,-0.03213671
1996-10-01,-0.01304696,-0.03491569,-0.02175363
1996-11-01,-0.00762476,-0.01180067,0.02343186
1996-12-01,0.01492212,0.02531036,-0.02166792
1997-01-01,-0.01805322,0.04946217,-0.02445167
1997-02-01,0.00010695,-0.01797277,-0.01995632
1997-03-01,-0.00914433,0.01668104,0.01638578
1997-04-01,0.01870290,0.02082385,0.04514910
1997-05-01,0.02624563,0.04218502,0.01443537
1997-06-01,-0.00984361,-0.00561372,0.00005618
1997-07-01,-0.00843406,0.00199612,-0.00058943
1997-08-01,-0.05685736,-0.01126343,0.00094422
1997-09-01,-0.02726881,0.03252208,-0.01076099
1997-10-01,-0.17045339,-0.11123468,0.02466401
1997-11-01,0.02225625,0.07030243,0.03359202
1997-12-01,-0.02601744,0.02846992,0.04001086
1998-01-01,-0.04385878,-0.07299383,0.02357964
1998-02-01,-0.12011072,0.00028016,0.07538767
1998-03-01,-0.05901035,-0.01052075,-0.03254065
1998-04-01,0.04140759,0.09445967,0.00497198
1998-05-01,0.00691948,0.01312668,-0.00767628
1998-06-01,-0.04217002,-0.02965199,0.02194740
1998-07-01,-0.05127160,0.00572894,0.00792674
1998-08-01,-0.05158333,0.01030393,-0.03482823
1998-09-01,-0.27408101,-0.25793363,0.05509535
1998-10-01,-0.04391960,0.05720626,0.00950975
1998-11-01,0.04820277,0.11337321,0.00163953
1998-12-01,-0.14833407,-0.10742301,0.04828456
1999-01-01,0.06342531,0.06617823,0.05095578
1999-02-01,-0.08654181,-0.06366804,0.02054718
1999-03-01,-0.06150471,-0.00534093,-0.00332609
1999-04-01,0.19802355,0.27697434,0.08767822
1999-05-01,-0.13408331,-0.13999711,-0.00719636
1999-06-01,0.05855012,0.06383665,0.04269869
1999-07-01,0.06703473,0.05331859,-0.01601707
1999-08-01,0.05135435,-0.01299448,-0.00438140
1999-09-01,-0.04828547,-0.07346329,-0.03079376
1999-10-01,0.09828173,0.08420832,0.09079864
